date,ph,ec,tds,pss,c
02/19/2016 00:17:28,8.1299,55169.91406,29791.75195,36.561,24.88125
02/19/2016 00:27:30,8.1322,55221.49609,29819.60742,36.599,24.875
02/19/2016 00:32:31,8.1353,55258.32422,29839.49414,36.628,24.88125
02/19/2016 00:37:32,8.1346,55263.30469,29842.18164,36.63,24.89375
02/19/2016 00:42:33,8.1373,55261.34375,29841.125,36.629,24.875
02/19/2016 00:47:34,8.1377,55176.72266,29795.42969,36.568,24.875
02/19/2016 00:52:35,8.1356,55178.49609,29796.38867,36.568,24.875
02/19/2016 00:57:36,8.1388,55161.03906,29786.96094,36.554,24.875
02/19/2016 01:02:37,8.1398,55153.90625,29783.10742,36.549,24.875
02/19/2016 01:07:38,8.1389,55149.43359,29780.69336,36.545,24.875
02/19/2016 01:12:39,8.1357,55162.77344,29787.89844,36.556,24.875
02/19/2016 01:17:40,8.1369,55165.98828,29789.63477,36.559,24.875
02/19/2016 01:22:41,8.1368,55158.26172,29785.45898,36.553,24.875
02/19/2016 01:27:42,8.1363,55185.32813,29800.07422,36.572,24.86875
02/19/2016 01:32:43,8.1338,55117.69922,29763.55664,36.523,24.875
02/19/2016 01:37:46,8.1348,55117.33594,29763.36133,36.521,24.8625
02/19/2016 01:42:45,8.1332,55144.26172,29777.90039,36.541,24.83125
02/19/2016 01:47:46,8.1327,55165.10156,29789.1543,36.557,24.8375
02/19/2016 01:52:47,8.1301,55175.13281,29794.57227,36.564,24.825
02/19/2016 01:57:48,8.1293,55219.04688,29818.28125,36.596,24.8125
02/19/2016 02:07:50,8.1301,55199.51172,29807.73438,36.583,24.8125
02/19/2016 02:12:51,8.1278,55195.47656,29805.55859,36.581,24.8125
02/19/2016 02:22:53,8.1258,55172.6875,29793.25,36.561,24.80625
02/19/2016 02:27:54,8.1235,55178.17188,29796.21289,36.567,24.8125
02/19/2016 02:32:55,8.12,55161.35547,29787.13281,36.553,24.80625
02/19/2016 02:37:56,8.1227,55168.12891,29790.78906,36.557,24.78125
02/19/2016 02:42:57,8.1199,55175.21484,29794.61328,36.563,24.7625
